start	2021/7/5
19:43	0.00	0.00
19:43	29.00	45.10
19:43	29.00	44.60
19:43	29.00	44.50
19:43	29.10	44.40
19:43	29.10	44.30
19:43	29.10	44.10
19:43	29.00	44.10
19:43	29.10	44.40
19:43	29.10	44.40
19:43	29.10	44.40
19:43	29.10	44.40
19:44	29.10	44.40
19:44	29.10	44.30
19:44	29.10	44.10
19:44	29.10	44.00
19:44	29.10	43.90
19:44	29.20	43.80
19:44	29.20	43.70
19:44	29.10	43.70
19:44	29.20	43.60
19:44	29.20	43.60
19:44	29.20	43.50
19:44	29.20	43.40
19:44	29.20	43.40
19:44	29.20	43.30
19:44	29.20	43.20
19:44	29.10	43.20
19:44	29.20	43.20
19:44	29.20	43.20
19:44	29.20	43.10
19:44	29.20	43.10
19:44	29.20	43.10
19:44	29.20	43.10
19:44	29.20	43.00
19:44	29.20	43.00
19:44	29.20	43.00
19:44	29.20	42.90
19:44	29.20	42.80
19:44	29.20	42.70
19:44	29.20	42.70
19:45	29.20	42.70
19:45	29.20	42.70
19:45	29.20	42.70
19:45	29.20	42.70
19:45	29.20	42.70
19:45	29.20	42.60
19:45	29.20	42.60
19:45	29.20	42.60
19:45	29.20	42.60
19:45	29.20	42.60
19:45	29.20	42.50
19:45	29.20	42.50
19:45	29.20	42.50
19:45	29.10	42.50
19:45	29.20	42.50
19:45	29.20	42.50
19:45	29.10	42.50
19:45	29.10	42.50
19:45	29.10	42.50
19:45	29.10	42.40
19:45	29.10	42.40
19:45	29.10	42.40
19:45	29.10	42.40
19:45	29.10	42.50
19:45	29.10	42.50
19:45	29.10	42.50
19:45	29.10	42.50
19:45	29.10	42.50
19:45	29.10	42.50
19:46	29.10	42.40
19:46	29.10	42.40
19:46	29.10	42.40
19:46	29.10	42.40
19:46	29.00	42.40
19:46	29.10	42.40
19:46	29.00	42.40
19:46	29.00	42.50
19:46	29.00	42.50
19:46	29.00	42.50
19:46	29.00	42.50
19:46	29.00	42.40
19:46	29.00	42.50
19:46	29.00	42.50
19:46	29.00	42.50
19:46	29.00	42.50
19:46	29.00	42.50
19:46	28.90	42.60
19:46	28.90	42.60
19:46	28.90	42.50
19:46	28.90	42.50
19:46	28.90	42.50
19:46	28.90	42.50
19:46	28.90	42.40
19:46	28.90	42.40
19:46	28.90	42.40
19:46	28.80	42.50
19:46	28.80	42.50
19:46	28.80	42.50
19:47	28.80	42.50
19:47	28.80	42.50
19:47	28.80	42.50
19:47	28.80	42.60
19:47	28.80	42.60
19:47	28.80	42.60
19:47	28.70	42.60
19:47	28.70	42.60
19:47	28.80	42.60
19:47	28.70	42.50
19:47	28.70	42.50
19:47	28.70	42.50
19:47	28.70	42.50
19:47	28.70	42.50
19:47	28.70	42.60
19:47	28.70	42.60
19:47	28.70	42.70
19:47	28.70	42.80
19:47	28.70	42.80
19:47	28.60	42.80
19:47	28.60	42.80
19:47	28.60	42.90
19:47	28.60	42.90
19:47	28.60	42.90
19:47	28.60	42.90
19:47	28.60	43.00
19:47	28.60	43.00
19:47	28.50	43.00
19:47	28.60	43.10
19:48	28.50	43.10
19:48	28.60	43.10
19:48	28.50	43.10
19:48	28.50	43.10
19:48	28.50	43.20
19:48	28.50	43.20
19:48	28.50	43.20
19:48	28.50	43.30
19:48	28.40	43.30
19:48	28.40	43.30
19:48	28.40	43.30
19:48	28.40	43.40
19:48	28.40	43.40
19:48	28.40	43.50
19:48	28.40	43.60
19:48	28.40	43.70
19:48	28.30	43.70
19:48	28.30	43.70
19:48	28.30	43.80
19:48	28.30	43.80
19:48	28.30	43.80
19:48	28.30	43.80
19:48	28.30	43.90
19:48	28.30	43.90
19:48	28.30	44.00
19:48	28.20	44.00
19:48	28.20	44.00
19:48	28.20	44.00
19:49	28.30	44.10
19:49	28.20	44.10
19:49	28.20	44.10
19:49	28.20	44.20
19:49	28.20	44.30
19:49	28.20	44.30
19:49	28.20	44.30
19:49	28.20	44.30
19:49	28.20	44.30
19:49	28.20	44.30
19:49	28.20	44.30
19:49	28.10	44.30
19:49	28.20	44.00
19:49	28.20	44.00
19:49	28.10	44.00
19:49	28.20	44.00
19:49	28.20	44.00
19:49	28.10	44.00
19:49	28.10	44.00
19:49	28.10	44.00
19:49	28.10	44.00
19:49	28.10	44.00
19:49	28.10	44.00
19:49	28.10	44.00
19:49	28.10	44.40
19:49	28.10	44.40
19:49	28.10	44.50
19:49	28.10	44.50
19:49	28.10	44.50
19:50	28.10	44.50
19:50	28.10	44.60
19:50	28.00	44.50
19:50	28.00	44.50
19:50	28.00	44.50
19:50	28.10	44.60
19:50	28.00	44.60
19:50	28.00	44.60
19:50	28.00	44.60
19:50	28.00	44.70
19:50	28.00	44.70
19:50	28.00	44.70
19:50	28.00	44.70
19:50	28.00	44.70
19:50	28.00	44.70
19:50	28.00	44.70
19:50	28.00	44.40
19:50	28.00	44.40
19:50	28.00	44.40
19:50	28.00	44.50
19:50	28.00	44.50
19:50	28.00	44.50
19:50	28.00	44.90
19:50	28.00	45.00
19:50	28.00	45.00
19:50	27.90	45.00
19:50	28.00	45.10
19:50	27.90	45.10
19:50	27.90	45.10
19:51	27.90	45.10
19:51	27.90	45.10
19:51	27.90	45.20
19:51	27.90	45.20
19:51	27.90	45.20
19:51	27.90	45.20
19:51	27.90	45.20
19:51	27.90	45.20
19:51	27.90	45.20
19:51	27.80	45.20
19:51	27.90	45.00
19:51	27.90	45.00
19:51	27.90	45.00
19:51	27.90	45.10
19:51	27.90	45.10
19:51	27.90	45.20
19:51	27.80	45.20
19:51	27.80	45.20
19:51	27.90	45.20
19:51	27.90	45.20
19:51	27.80	45.20
19:51	27.90	45.20
19:51	27.80	45.60
19:51	27.80	45.60
19:51	27.90	45.60
19:51	27.80	45.70
19:51	27.80	45.40
19:51	27.80	45.30
19:51	27.80	45.30
19:52	27.80	45.40
19:52	27.80	45.40
19:52	27.80	45.40
19:52	27.80	45.70
19:52	27.80	45.70
19:52	27.80	45.70
19:52	27.80	45.40
19:52	27.80	45.40
19:52	27.80	45.40
19:52	27.80	45.50
19:52	27.80	45.50
19:52	27.80	45.50
19:52	27.70	45.80
19:52	27.70	45.80
19:52	27.80	45.90
19:52	27.70	45.80
19:52	27.70	45.80
19:52	27.70	45.80
19:52	27.70	45.80
19:52	27.70	45.80
19:52	27.70	45.80
19:52	27.70	45.80
19:52	27.70	45.80
19:52	27.70	45.80
19:52	27.70	45.80
19:52	27.70	45.60
19:52	27.70	45.60
19:52	27.70	45.30
19:52	27.70	45.40
19:53	27.70	45.10
19:53	27.70	45.10
19:53	27.70	45.10
19:53	27.70	45.10
19:53	27.70	45.50
19:53	27.70	45.50
19:53	27.70	45.80
19:53	27.70	45.90
19:53	27.70	46.10
19:53	27.60	46.10
19:53	27.70	46.00
19:53	27.70	46.00
19:53	27.70	46.00
19:53	27.70	46.00
19:53	27.70	46.00
19:53	27.70	46.10
19:53	27.70	46.10
19:53	27.70	46.10
19:53	27.70	46.10
19:53	27.60	46.10
19:53	27.60	46.10
19:53	27.60	46.10
19:53	27.60	46.20
19:53	27.70	46.20
19:53	27.60	46.20
19:53	27.60	46.20
19:53	27.60	46.30
19:53	27.60	46.00
19:53	27.60	46.00
19:54	27.60	45.60
19:54	27.60	45.60
19:54	27.60	45.70
19:54	27.60	45.70
19:54	27.60	46.10
19:54	27.60	45.80
19:54	27.60	46.10
19:54	27.60	46.10
19:54	27.60	45.80
19:54	27.60	45.80
19:54	27.60	45.80
19:54	27.60	46.10
19:54	27.60	46.10
19:54	27.60	46.20
19:54	27.60	46.50
19:54	27.60	46.50
19:54	27.60	46.50
19:54	27.60	46.50
19:54	27.60	46.60
19:54	27.60	46.60
19:54	27.60	46.60
19:54	27.60	46.60
19:54	27.60	46.30
19:54	27.60	46.20
19:54	27.60	46.20
19:54	27.50	46.20
19:54	27.60	46.10
19:54	27.60	46.10
19:55	27.50	46.40
19:55	27.60	46.50
19:55	27.60	46.50
19:55	27.50	46.60
19:55	27.60	46.70
19:55	27.60	46.80
19:55	27.50	46.50
19:55	27.50	46.40
19:55	27.60	46.40
19:55	27.60	46.40
19:55	27.50	46.40
19:55	27.60	46.50
19:55	27.50	46.90
19:55	27.50	46.90
19:55	27.50	46.60
19:55	27.50	46.70
19:55	27.60	46.60
19:55	27.50	46.60
19:55	27.50	46.60
19:55	27.50	46.60
19:55	27.50	46.40
19:55	27.50	46.40
19:55	27.50	46.30
19:55	27.50	46.30
19:55	27.50	46.40
19:55	27.50	46.50
19:55	27.50	46.80
19:55	27.50	46.80
19:55	27.50	46.80
19:56	27.50	46.90
19:56	27.50	46.90
19:56	27.50	46.90
19:56	27.50	46.90
19:56	27.50	46.90
19:56	27.50	46.90
19:56	27.50	46.90
19:56	27.50	46.90
19:56	27.50	46.90
19:56	27.50	46.90
19:56	27.50	46.90
19:56	27.50	46.90
19:56	27.50	46.90
19:56	27.50	46.90
19:56	27.50	46.90
19:56	27.50	47.00
19:56	27.50	47.10
19:56	27.50	47.10
19:56	27.50	46.80
19:56	27.50	46.90
19:56	27.50	46.90
19:56	27.50	46.90
19:56	27.50	46.90
19:56	27.50	46.80
19:56	27.50	46.80
19:56	27.50	46.70
19:56	27.50	46.40
19:56	27.50	46.50
19:56	27.50	46.50
19:57	27.40	46.50
19:57	27.40	46.80
19:57	27.50	46.80
19:57	27.50	47.10
19:57	27.50	47.00
19:57	27.50	47.00
19:57	27.50	47.00
19:57	27.50	47.00
19:57	27.50	47.00
19:57	27.50	46.70
19:57	27.50	46.70
19:57	27.50	46.70
19:57	27.40	46.70
19:57	27.40	46.70
19:57	27.50	46.80
19:57	27.50	47.10
19:57	27.40	47.10
19:57	27.40	47.10
19:57	27.40	47.10
19:57	27.50	47.10
19:57	27.40	46.80
19:57	27.50	46.80
19:57	27.40	46.80
19:57	27.40	46.80
19:57	27.40	46.80
19:57	27.50	46.80
19:57	27.40	47.10
19:57	27.40	47.10
19:57	27.40	47.10
19:58	27.40	47.10
19:58	27.50	46.80
19:58	27.40	46.40
19:58	27.40	46.50
19:58	27.40	46.50
19:58	27.40	46.50
19:58	27.50	46.20
19:58	27.40	46.50
19:58	27.40	46.80
19:58	27.40	46.80
19:58	27.50	46.90
19:58	27.40	46.90
19:58	27.40	47.30
19:58	27.40	47.30
19:58	27.40	47.40
19:58	27.50	47.50
19:58	27.40	47.50
19:58	27.40	47.50
19:58	27.40	47.60
19:58	27.40	47.60
19:58	27.40	47.50
19:58	27.40	47.20
19:58	27.40	47.20
19:58	27.40	47.10
19:58	27.40	47.10
19:58	27.40	47.10
19:58	27.40	47.10
19:58	27.40	47.40
19:58	27.40	47.40
19:59	27.40	47.40
19:59	27.40	47.40
19:59	27.40	47.40
19:59	27.40	47.30
19:59	27.40	47.40
19:59	27.40	47.40
19:59	27.40	47.40
19:59	27.30	47.50
19:59	27.40	47.50
19:59	27.40	47.50
19:59	27.40	47.60
19:59	27.40	47.60
19:59	27.40	47.60
19:59	27.40	47.70
19:59	27.30	47.60
19:59	27.30	47.60
19:59	27.30	47.60
19:59	27.40	47.60
19:59	27.40	47.60
19:59	27.40	47.60
19:59	27.40	47.60
19:59	27.40	47.60
19:59	27.40	47.70
19:59	27.40	47.70
19:59	27.30	47.80
19:59	27.30	47.80
19:59	27.40	47.80
19:59	27.30	47.80
20:0	27.40	47.80
20:0	27.40	47.70
20:0	27.40	47.70
20:0	27.40	47.70
20:0	27.40	47.70
20:0	27.40	47.80
20:0	27.40	47.80
20:0	27.40	47.90
20:0	27.30	47.90
20:0	27.30	48.00
20:0	27.30	48.00
20:0	27.30	48.00
20:0	27.40	48.00
20:0	27.30	47.90
20:0	27.30	47.90
20:0	27.30	47.80
20:0	27.30	47.80
20:0	27.30	47.80
20:0	27.40	47.80
20:0	27.30	47.40
20:0	27.30	47.50
20:0	27.30	47.50
20:0	27.30	47.60
20:0	27.30	47.60
20:0	27.30	47.60
20:0	27.30	47.90
20:0	27.30	47.90
20:0	27.30	47.80
20:0	27.30	47.80
20:1	27.30	47.80
20:1	27.30	47.80
20:1	27.30	47.50
20:1	27.30	47.50
20:1	27.30	47.50
20:1	27.30	47.50
20:1	27.30	47.30
20:1	27.30	47.30
20:1	27.30	47.60
20:1	27.30	47.60
20:1	27.30	47.60
20:1	27.30	47.60
20:1	27.30	47.90
20:1	27.30	47.90
20:1	27.30	47.60
20:1	27.30	47.60
20:1	27.30	47.60
20:1	27.30	47.60
20:1	27.30	47.60
20:1	27.30	47.30
20:1	27.30	47.60
20:1	27.30	47.60
20:1	27.30	47.60
20:1	27.30	47.60
20:1	27.30	47.60
20:1	27.30	47.90
20:1	27.30	47.90
20:1	27.30	47.90
20:1	27.30	47.90
20:2	27.30	47.90
20:2	27.30	47.90
20:2	27.30	48.00
20:2	27.30	48.00
20:2	27.30	48.10
20:2	27.30	48.10
20:2	27.30	48.10
20:2	27.30	48.20
20:2	27.30	48.20
20:2	27.30	48.20
20:2	27.30	48.10
20:2	27.30	48.20
20:2	27.30	48.10
20:2	27.20	48.10
20:2	27.30	48.10
20:2	27.30	48.10
20:2	27.30	48.10
20:2	27.20	48.10
20:2	27.30	48.10
20:2	27.30	47.80
20:2	27.20	47.80
20:2	27.30	47.80
20:2	27.30	47.90
20:2	27.30	47.90
20:2	27.30	48.00
20:2	27.30	48.40
20:2	27.30	48.40
20:2	27.30	48.50
20:2	27.30	48.50
20:3	27.30	48.60
20:3	27.30	48.60
20:3	27.30	48.50
20:3	27.30	48.50
20:3	27.30	48.50
20:3	27.30	48.40
20:3	27.30	48.30
20:3	27.30	48.30
20:3	27.20	48.20
20:3	27.30	47.90
20:3	27.30	47.90
20:3	27.30	47.90
20:3	27.30	47.90
20:3	27.30	47.90
20:3	27.30	48.00
20:3	27.30	48.30
20:3	27.30	48.30
20:3	27.30	48.30
20:3	27.30	48.30
20:3	27.20	48.30
20:3	27.20	48.30
20:3	27.30	48.00
20:3	27.20	47.70
20:3	27.30	47.70
20:3	27.30	47.70
20:3	27.30	47.80
20:3	27.30	47.80
20:3	27.30	48.10
20:3	27.30	48.00
20:4	27.30	48.00
20:4	27.20	47.90
20:4	27.30	47.90
20:4	27.30	47.90
20:4	27.30	48.00
20:4	27.30	48.30
20:4	27.30	48.30
20:4	27.30	48.40
20:4	27.30	48.40
20:4	27.30	48.30
20:4	27.30	48.30
20:4	27.30	48.20
20:4	27.30	48.20
20:4	27.20	47.90
20:4	27.20	47.90
20:4	27.30	48.00
20:4	27.30	48.00
20:4	27.30	48.10
20:4	27.30	47.80
20:4	27.30	48.10
20:4	27.30	48.20
20:4	27.30	48.10
20:4	27.30	47.80
20:4	27.30	47.80
20:4	27.30	48.10
20:4	27.30	48.10
20:4	27.30	47.80
20:4	27.30	47.50
20:4	27.30	47.80
20:5	27.30	47.40
20:5	27.30	47.40
20:5	27.30	47.40
20:5	27.30	47.80
20:5	27.30	48.10
